Japa,7
Simon's Cat,12
SevenSuperGirls,17
Fatos Desconhecidos,0
Philip DeFranco,0
RomanAtwood,26
Caspar,1
ThePianoGuys,6
MOVIECLIPS,0
Rclbeauty101,1
AuthenticGames,0
Call of Duty,2
Luisito Comunica,0
Willyrex,0
Britain's Got Talent,0
AlexXxStrecci,16
Bratayley,10
Dude Perfect,6
WWE,0
CutiePieMarzia,4
Musas,3
XpressTV,1
MBC GROUP,20
Howcast,0
KSI,2
Ray  William Johnson,0
AwesomenessTV,0
The Voice,0
Cimorelli,4
AsapSCIENCE,0
Jaclyn Hill,52
Wismichu,1
Jimmy Kimmel Live,1
Bart Baker,0
Você Sabia?,0
Christian Figueiredo,18
WatchMojo.com,1
VanossGaming,1
FPSRussia,31
Miranda Sings,46
elrubiusOMG,74
Tomorrowland,4
Cyprien,52
Wiz Khalifa,1
FamilyFunPack,36
Felipe Neto,4
ExplodingTNT,69
Mister V,25
Ultra Music,0
AWE me,0
Sebastián Villalobos,9
Ownage Pranks,0
Monstercat,0
steveo,0
ConnorFranta,1
TheFineBros,0
Carli Bybel,1
FaZe Apex,2
Colors TV,0
CrashCourse,8
One Direction,22
Wengie,0
grav3yardgirl,39
emimusic,5
minutephysics,57
Hardwell,0
NikkieTutorials,0
coisadenerd,4
boyceavenue,27
Atlantic Records,5
CasalDeNerd,3
Rosanna Pansino,4
Bie The Ska,33
Machinima,0
Charlie Puth,4
LubaTV,21
The X Factor UK,0
TheSoundYouNeed,41
Yuya,1
CorridorDigital,12
Sony Music India,0
CanalCanalha,29
TechRax,85
NexxuzHD,37
Veritasium,8
Mamilos Molengas,21
League of Legends,0
PewDiePie,33
Rémi GAILLARD,3
Alan Walker,16
Troye Sivan,6
Vete a la Versh,0
Proximity,0
Маша и Медведь,6
FailArmy,0
Spinnin' Records,8
Google,1
Parafernalha,0
Vikkstar123,0
Apple,0
Galinha Pintadinha,22
ERB,16
IGN,0
JuegaGerman,92
Top Gear,0
MyLifeAsEva,8
The Slow Mo Guys,86
Fueled By Ramen,31
iBallisticSquid,32
SmarterEveryDay,18
LaurDIY,18
devinsupertramp,7
LittleBabyBum ®,3
Trap City,5
Marcus Butler,2
Bethany Mota,6
boogie2988,22
rezendeevil,1
SSundee,69
Bruno Mars,3
FaZe Rain,0
TheRichest,0
theRadBrad,60
BIGBANG,12
freekickerz,3
TheSyndicateProject,0
sWooZie,28
VICE,0
Canal Nostalgia,0
Rhett,8
melanie martinez,6
TED,0
Rooster Teeth,2
El Rincón De Giorgio,10
Trap Nation,1
Paint,0
Mother Goose Club,25
Ali-A,23
YosStoP,13
TED-Ed,0
PlayStation,11
luzugames,98
Werevertumorro,7
AndreasChoice,10
Michelle Phan,0
JoeyGraceffa,0
Clash of Clans,21
Screen Junkies,0
Cute Girls Hairstyles,7
Vsauce,70
Smosh,0
Martin Garrix,2
CaELiKe,7
